assessment status,Site_Latitude,Site_Longitude
complete,47.696396,-122.37745
complete,47.554718,-122.275765
complete,48.402318,-122.241126
complete,48.512963,-122.22411
complete,48.501331,-122.231469
complete,48.464486,-122.233524
complete,48.513618,-122.221008
complete,48.527938,-122.069916
complete,48.50013,-122.22918
complete,48.586211,-122.22508
complete,48.500236,-122.237337
complete,48.081486,-123.174374
complete,48.083652,-123.109355
complete,48.084867,-123.103748
complete,48.57239,-122.96178
complete,47.201084,-123.099239
complete,47.236494,-123.122887
complete,47.773821,-122.299089
complete,47.74185,-122.29747
complete,47.75478,-122.28965
complete,47.770068,-122.33827
complete,47.745709,-122.35855
complete,47.763057,-122.28784
complete,47.77164,-122.372447
complete,47.754994,-122.335777
complete,47.76726,-122.32025
complete,47.749139,-122.318504
complete,47.70941,-121.362138
complete,47.926663,-122.087057
complete,47.9405,-122.0868
complete,47.8273,-122.1222
complete,47.921478,-122.05458
complete,47.9251,-122.0844
complete,47.8818,-122.162
complete,47.8668,-122.1445
complete,47.569621,-121.90512
complete,47.480162,-121.76652
complete,47.569407,-121.895978
complete,47.494164,-121.779173
complete,47.523542,-121.809932
complete,47.517922,-121.814025
complete,46.662053,-123.791702
complete,48.035055,-122.403018
complete,48.005326,-122.41006
complete,48.012554,-122.410406
complete,47.621255,-117.36787
complete,47.716215,-117.372495
complete,47.679793,-117.442334
complete,47.718125,-117.456364
complete,47.672072,-117.427894
complete,47.689078,-117.375135
complete,47.665184,-117.436596
complete,47.622542,-117.339989
complete,47.687561,-117.358702
complete,47.692194,-117.452663
complete,47.640436,-117.371213
complete,47.677067,-117.415102
complete,47.646981,-117.391054
complete,47.617655,-117.380008
complete,47.676614,-117.431725
complete,47.669343,-117.450502
complete,47.632594,-117.396672
complete,47.721081,-117.472433
complete,47.656115,-117.367719
complete,47.678779,-117.394348
complete,47.69171,-117.397229
complete,47.708597,-117.416174
complete,47.601122,-117.348416
complete,47.596123,-117.372692
complete,47.653481,-117.311267
complete,47.697358,-117.370054
complete,47.642354,-117.414433
complete,47.652169,-117.355383
complete,47.671164,-117.384911
complete,47.70696,-117.386501
complete,47.697888,-117.419902
complete,47.631589,-117.425542
complete,47.74594,-117.482497
complete,48.249633,-122.323721
complete,48.24477,-122.372366
complete,48.242474,-122.361046
complete,48.2345,-122.329
complete,47.163074,-122.712437
complete,47.16556,-122.588284
complete,47.857007,-121.696801
complete,47.865972,-121.814415
complete,47.869217,-121.817448
complete,47.872929,-121.813903
complete,47.184544,-122.178199
complete,47.219817,-122.201366
complete,47.144697,-122.150999
complete,47.195105,-122.232229
complete,47.203429,-122.232796
complete,47.153953,-122.178973
complete,46.345433,-120.097337
complete,47.243533,-122.436639
complete,47.244841,-122.442828
complete,47.224276,-117.071427
complete,47.2236,-117.0674
complete,46.857223,-122.849244
complete,46.86225,-122.84731
complete,46.858283,-122.855723
complete,46.861342,-122.84908
complete,46.440842,-122.84978
complete,48.701956,-119.432264
complete,46.978089,-122.947255
complete,46.991339,-122.967
complete,46.96806,-122.92769
complete,46.902843,-123.01509
complete,47.005313,-122.911578
complete,46.988548,-122.905327
complete,46.985579,-122.916005
complete,47.01619,-122.9229
complete,46.992036,-122.92448
complete,47.423234,-122.45728
complete,46.961361,-119.041329
complete,47.644883,-120.069717
complete,47.407206,-120.309388
complete,47.418476,-120.320827
complete,47.443133,-120.335653
complete,47.432594,-120.347845
complete,47.438071,-120.330375
complete,47.39863,-120.299137
complete,47.426365,-120.325632
complete,47.41229,-120.32242
complete,47.452427,-120.332367
complete,47.433819,-120.339984
complete,47.665457,-117.2997
complete,47.660431,-117.284675
complete,47.683,-117.2865
complete,47.665715,-117.27557
complete,47.682448,-117.301937
complete,47.671586,-117.305419
complete,47.675508,-117.28429
complete,47.160255,-122.115992
complete,47.1505,-122.05911
complete,47.148677,-122.06302
complete,47.163333,-122.034167
complete,47.1015,-122.04192
complete,45.73065,-121.486876
complete,45.74041,-121.494403
complete,45.7404,-121.494396
complete,47.425663,-119.120903
complete,45.926202,-122.724245
complete,45.904426,-122.748344
complete,45.995889,-122.38087
