School Building: Year of Most Recent Seismic Improvements (old),Building/School (2024),Year of Most Recent Seismic Retrofit (2024),,URMs,URMs notes
"Marshall, Thurgood Elementary: 2008","Marshall, Thurgood",2008,,,
McClure Middle School: 2022,McClure,2022,,,
McDonald International Elementary: 2012,McDonald,2012,,unreinforced masonry,
McGilvra Elementary: 2015,McGilvra,2015,,unreinforced masonry,
Meany Middle School: 2017,Meany,2017: major renovation,,,
"Mercer, Asa, International Middle School: 1989 (BEX V replacement expected to open 2025)","Mercer, Asa",1989 (replacement under construction),,,
"Minor, T.T. (Seattle World School): 2016","Minor, T.T.",2016: major renovation,Seattle World School (@T.T. Minor): 2016,,
Monroe (Salmon Bay K-8): 2017,Monroe (Salmon Bay K-8),2017,Salmon Bay K-8 (@Monroe): 2017,unreinforced masonry,
Montlake Elementary: 2006 (BEX V major renovation expected to open 2025),Montlake,2006 (major renovation under construction),,,
"Muir, John Elementary: 2015",John Muir Elementary,2015,,,
North Beach Elementary: 2022,North Beach,2022,,,
North Queen Anne (Cascade Parent Partnership): 2014 (modernized building opens 2023),"North Queen Anne School (CascadeParent Partnership)",2023: major renovation,Cascade Parent Partnership (@North Queen Anne): 2014 (renovated building opens 2023),unreinforced masonry,Major renovation
Old Hay (Queen Anne Elementary): 2019,Hay (Queen Anne),2019,Queen Anne Elementary (@Old Hay): 2019,unreinforced masonry,
Olympic Hills Elementary: 2017,Olympic Hills,2017: new construction,,,
Olympic View Elementary: 2019,Olympic View,2019,,,
Pinehurst School (Hazel Wolf K-8): 2016,Hazel Wolf K-8,2016: new construction,"Wolf, Hazel K-8 (@Pinehurst School): 2016",,
Queen Anne Gymnasium (Interagency): 1995 (additional work scheduled for 2023),Queen Anne Gymnasium,2023,,,
Rainier Beach High School: 2003 (BEX V replacement expected to open 2025),Rainier Beach,2003 (replacement under construction),,,
Rainier View Elementary: 2001,Rainier View,2001,,,
"Rogers, John Elementary: 2007 (BEX V replacement expected to open 2025)", John Rogers Elementary,2007 (replacement under construction),,,
Roosevelt High School: 2004,Roosevelt,2004: major renovation,,,
